Ano,Candidato,Percentual Votos Anterior,Caracteristica_Historica
1989,Collor,,Primeira eleição após a redemocratização
1998,FHC,43.29,Reeleição de FHC
2002,Lula,47.75,Eleição de Lula pela primeira vez
2006,Lula,61.27,Reeleição de Lula
2010,Dilma,56.05,Eleição de Dilma pela primeira vez
2014,Dilma,51.64,Reeleição de Dilma
2018,Bolsonaro,46.03,Eleição de Bolsonaro
2022,Lula,48.36,Retorno de Lula à presidência
